2024-11-22 19:23:17 - ERROR - Failed to speedup videos for H:data\94f827b4b94e\2024112100\29M49S_1732120189.mp4. Error: ffmpeg error (see stderr output for detail)
2024-11-22 19:23:43 - ERROR - Failed to speedup videos for H:data\94f827b4b94e\2024112100\32M32S_1732120352.mp4. Error: None
2024-11-22 20:20:23 - INFO - Checking file: H:data\94f827b4b94e\2024112107\45M29S_1732146329.mp4, Status: Valid
2024-11-22 20:20:25 - INFO - Checking file: H:data\94f827b4b94e\2024112107\46M39S_1732146399.mp4, Status: Valid
2024-11-22 20:20:26 - INFO - Checking file: H:data\94f827b4b94e\2024112107\50M23S_1732146623.mp4, Status: Valid
2024-11-22 20:20:27 - INFO - Checking file: H:data\94f827b4b94e\2024112107\55M45S_1732146945.mp4, Status: Valid
2024-11-22 20:20:28 - INFO - Checking file: H:data\94f827b4b94e\2024112116\59M17S_1732179557.mp4, Status: Valid
2024-11-22 20:20:30 - INFO - Checking file: H:data\94f827b4b94e\2024112117\01M13S_1732179673.mp4, Status: Valid
2024-11-22 20:20:31 - INFO - Checking file: H:data\94f827b4b94e\2024112117\37M38S_1732181858.mp4, Status: Valid
2024-11-22 20:20:32 - INFO - Checking file: H:data\94f827b4b94e\2024112118\31M30S_1732185090.mp4, Status: Valid
2024-11-22 20:20:33 - INFO - Checking file: H:data\94f827b4b94e\2024112118\44M27S_1732185867.mp4, Status: Valid
2024-11-22 20:20:35 - INFO - Checking file: H:data\94f827b4b94e\2024112118\50M19S_1732186219.mp4, Status: Valid
2024-11-22 20:20:36 - INFO - Checking file: H:data\94f827b4b94e\2024112118\59M27S_1732186767.mp4, Status: Valid
2024-11-22 20:20:37 - INFO - Checking file: H:data\94f827b4b94e\2024112119\00M26S_1732186826.mp4, Status: Valid
2024-11-22 20:20:39 - INFO - Checking file: H:data\94f827b4b94e\2024112119\01M26S_1732186886.mp4, Status: Valid
2024-11-22 20:20:41 - INFO - Checking file: H:data\94f827b4b94e\2024112119\02M26S_1732186946.mp4, Status: Valid
2024-11-22 20:20:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\09M07S_1732187347.mp4, Status: Valid
2024-11-22 20:20:44 - INFO - Checking file: H:data\94f827b4b94e\2024112119\22M58S_1732188178.mp4, Status: Valid
2024-11-22 20:20:46 - INFO - Checking file: H:data\94f827b4b94e\2024112119\25M32S_1732188332.mp4, Status: Valid
2024-11-22 20:20:48 - INFO - Checking file: H:data\94f827b4b94e\2024112119\35M09S_1732188909.mp4, Status: Valid
2024-11-22 20:20:49 - INFO - Checking file: H:data\94f827b4b94e\2024112119\37M50S_1732189070.mp4, Status: Valid
2024-11-22 20:20:51 - INFO - Checking file: H:data\94f827b4b94e\2024112119\39M31S_1732189171.mp4, Status: Valid
2024-11-22 20:20:52 - INFO - Checking file: H:data\94f827b4b94e\2024112119\40M31S_1732189231.mp4, Status: Valid
2024-11-22 20:20:54 - INFO - Checking file: H:data\94f827b4b94e\2024112119\41M31S_1732189291.mp4, Status: Valid
2024-11-22 20:20:56 - INFO - Checking file: H:data\94f827b4b94e\2024112119\42M31S_1732189351.mp4, Status: Valid
2024-11-22 20:20:57 - INFO - Checking file: H:data\94f827b4b94e\2024112119\43M31S_1732189411.mp4, Status: Valid
2024-11-22 20:20:59 - INFO - Checking file: H:data\94f827b4b94e\2024112119\44M31S_1732189471.mp4, Status: Valid
2024-11-22 20:21:00 - INFO - Checking file: H:data\94f827b4b94e\2024112119\45M37S_1732189537.mp4, Status: Valid
2024-11-22 20:21:02 - INFO - Checking file: H:data\94f827b4b94e\2024112119\46M37S_1732189597.mp4, Status: Valid
2024-11-22 20:21:03 - INFO - Checking file: H:data\94f827b4b94e\2024112119\47M37S_1732189657.mp4, Status: Valid
2024-11-22 20:21:05 - INFO - Checking file: H:data\94f827b4b94e\2024112119\48M38S_1732189718.mp4, Status: Valid
2024-11-22 20:21:07 - INFO - Checking file: H:data\94f827b4b94e\2024112119\49M37S_1732189777.mp4, Status: Valid
2024-11-22 20:21:08 - INFO - Checking file: H:data\94f827b4b94e\2024112119\50M37S_1732189837.mp4, Status: Valid
2024-11-22 20:21:10 - INFO - Checking file: H:data\94f827b4b94e\2024112119\51M37S_1732189897.mp4, Status: Valid
2024-11-22 20:21:12 - INFO - Checking file: H:data\94f827b4b94e\2024112119\52M37S_1732189957.mp4, Status: Valid
2024-11-22 20:21:13 - INFO - Checking file: H:data\94f827b4b94e\2024112119\53M37S_1732190017.mp4, Status: Valid
2024-11-22 20:21:15 - INFO - Checking file: H:data\94f827b4b94e\2024112119\54M37S_1732190077.mp4, Status: Valid
2024-11-22 20:26:50 - INFO - Checking file: H:data\94f827b4b94e\2024112100\20M41S_1732119641.mp4, Status: Valid
2024-11-22 20:26:51 - INFO - Checking file: H:data\94f827b4b94e\2024112100\29M49S_1732120189.mp4, Status: Valid
2024-11-22 20:26:52 - INFO - Checking file: H:data\94f827b4b94e\2024112100\32M32S_1732120352.mp4, Status: Valid
2024-11-22 20:26:53 - INFO - Checking file: H:data\94f827b4b94e\2024112100\33M29S_1732120409.mp4, Status: Valid
2024-11-22 20:26:55 - INFO - Checking file: H:data\94f827b4b94e\2024112100\41M27S_1732120887.mp4, Status: Valid
2024-11-22 20:26:56 - INFO - Checking file: H:data\94f827b4b94e\2024112100\42M35S_1732120955.mp4, Status: Valid
2024-11-22 20:26:57 - INFO - Checking file: H:data\94f827b4b94e\2024112100\48M48S_1732121328.mp4, Status: Valid
2024-11-22 20:26:58 - INFO - Checking file: H:data\94f827b4b94e\2024112100\52M37S_1732121557.mp4, Status: Valid
2024-11-22 20:26:59 - INFO - Checking file: H:data\94f827b4b94e\2024112100\53M44S_1732121624.mp4, Status: Valid
2024-11-22 20:27:00 - INFO - Checking file: H:data\94f827b4b94e\2024112100\55M11S_1732121711.mp4, Status: Valid
2024-11-22 20:27:01 - INFO - Checking file: H:data\94f827b4b94e\2024112101\13M43S_1732122823.mp4, Status: Valid
2024-11-22 20:27:02 - INFO - Checking file: H:data\94f827b4b94e\2024112101\30M04S_1732123804.mp4, Status: Valid
2024-11-22 20:27:03 - INFO - Checking file: H:data\94f827b4b94e\2024112101\37M39S_1732124259.mp4, Status: Valid
2024-11-22 20:27:04 - INFO - Checking file: H:data\94f827b4b94e\2024112101\40M26S_1732124426.mp4, Status: Valid
2024-11-22 20:27:06 - INFO - Checking file: H:data\94f827b4b94e\2024112101\44M06S_1732124646.mp4, Status: Valid
2024-11-22 20:27:07 - INFO - Checking file: H:data\94f827b4b94e\2024112101\45M05S_1732124705.mp4, Status: Valid
2024-11-22 20:27:08 - INFO - Checking file: H:data\94f827b4b94e\2024112101\46M31S_1732124791.mp4, Status: Valid
2024-11-22 20:27:09 - INFO - Checking file: H:data\94f827b4b94e\2024112101\47M58S_1732124878.mp4, Status: Valid
2024-11-22 20:27:10 - INFO - Checking file: H:data\94f827b4b94e\2024112101\49M06S_1732124946.mp4, Status: Valid
2024-11-22 20:27:11 - INFO - Checking file: H:data\94f827b4b94e\2024112101\50M45S_1732125045.mp4, Status: Valid
2024-11-22 20:27:12 - INFO - Checking file: H:data\94f827b4b94e\2024112102\10M46S_1732126246.mp4, Status: Valid
2024-11-22 20:27:13 - INFO - Checking file: H:data\94f827b4b94e\2024112102\11M54S_1732126314.mp4, Status: Valid
2024-11-22 20:27:14 - INFO - Checking file: H:data\94f827b4b94e\2024112102\17M13S_1732126633.mp4, Status: Valid
2024-11-22 20:27:15 - INFO - Checking file: H:data\94f827b4b94e\2024112102\22M50S_1732126970.mp4, Status: Valid
2024-11-22 20:27:17 - INFO - Checking file: H:data\94f827b4b94e\2024112102\24M33S_1732127073.mp4, Status: Valid
2024-11-22 20:27:18 - INFO - Checking file: H:data\94f827b4b94e\2024112102\26M54S_1732127214.mp4, Status: Valid
2024-11-22 20:27:19 - INFO - Checking file: H:data\94f827b4b94e\2024112102\27M51S_1732127271.mp4, Status: Valid
2024-11-22 20:27:20 - INFO - Checking file: H:data\94f827b4b94e\2024112102\28M54S_1732127334.mp4, Status: Valid
2024-11-22 20:27:21 - INFO - Checking file: H:data\94f827b4b94e\2024112102\31M26S_1732127486.mp4, Status: Valid
2024-11-22 20:27:22 - INFO - Checking file: H:data\94f827b4b94e\2024112102\35M21S_1732127721.mp4, Status: Valid
2024-11-22 20:27:23 - INFO - Checking file: H:data\94f827b4b94e\2024112102\39M49S_1732127989.mp4, Status: Valid
2024-11-22 20:27:24 - INFO - Checking file: H:data\94f827b4b94e\2024112102\41M34S_1732128094.mp4, Status: Valid
2024-11-22 20:27:25 - INFO - Checking file: H:data\94f827b4b94e\2024112102\44M04S_1732128244.mp4, Status: Valid
2024-11-22 20:27:26 - INFO - Checking file: H:data\94f827b4b94e\2024112102\50M47S_1732128647.mp4, Status: Valid
2024-11-22 20:27:28 - INFO - Checking file: H:data\94f827b4b94e\2024112102\55M14S_1732128914.mp4, Status: Valid
2024-11-22 20:27:29 - INFO - Checking file: H:data\94f827b4b94e\2024112102\57M42S_1732129062.mp4, Status: Valid
2024-11-22 20:27:30 - INFO - Checking file: H:data\94f827b4b94e\2024112103\01M41S_1732129301.mp4, Status: Valid
2024-11-22 20:27:31 - INFO - Checking file: H:data\94f827b4b94e\2024112103\02M39S_1732129359.mp4, Status: Valid
2024-11-22 20:27:32 - INFO - Checking file: H:data\94f827b4b94e\2024112103\05M34S_1732129534.mp4, Status: Valid
2024-11-22 20:27:33 - INFO - Checking file: H:data\94f827b4b94e\2024112103\09M46S_1732129786.mp4, Status: Valid
2024-11-22 20:27:34 - INFO - Checking file: H:data\94f827b4b94e\2024112103\11M38S_1732129898.mp4, Status: Valid
2024-11-22 20:27:35 - INFO - Checking file: H:data\94f827b4b94e\2024112103\16M49S_1732130209.mp4, Status: Valid
2024-11-22 20:27:36 - INFO - Checking file: H:data\94f827b4b94e\2024112103\18M46S_1732130326.mp4, Status: Valid
2024-11-22 20:27:38 - INFO - Checking file: H:data\94f827b4b94e\2024112103\22M22S_1732130542.mp4, Status: Valid
2024-11-22 20:27:39 - INFO - Checking file: H:data\94f827b4b94e\2024112104\15M58S_1732133758.mp4, Status: Valid
2024-11-22 20:27:40 - INFO - Checking file: H:data\94f827b4b94e\2024112104\17M39S_1732133859.mp4, Status: Valid
2024-11-22 20:27:41 - INFO - Checking file: H:data\94f827b4b94e\2024112104\18M37S_1732133917.mp4, Status: Valid
2024-11-22 20:27:42 - INFO - Checking file: H:data\94f827b4b94e\2024112104\22M21S_1732134141.mp4, Status: Valid
2024-11-22 20:27:43 - INFO - Checking file: H:data\94f827b4b94e\2024112104\23M33S_1732134213.mp4, Status: Valid
